"word","spelling","IPA_correct","Notes_1","Notes_2","Notes_3","Notes_4"
"bananeira","['bɐ.nɐ.ˈnɐj.ɾɐ']",,,,,"No error"
"milhar","['mi.ˈʎaɾ']",,,,,"No error"
"ensaísta","['ẽ.sa.ˈiʃ.tɐ']",,,,,"No error"
"dialeto","['djɐ.ˈlɛ.tu']",,,,,"No error"
"pêssego","['ˈpe.sɨ.ɡu']",,,,,"No error"
"epicarpo","['e.pi.ˈkaɾ.pu']",,,,,"No error"
"puta","['ˈpu.tɐ']",,,,,"No error"
"magusto","['mɐ.ˈɡuʃ.tu']",,,,,"No error"
"verbete","['vɨɾ.ˈbe.tɨ']",,,,,"No error"
"cornudo","['kuɾ.ˈnu.du']",,,,,"No error"
"ameia","['ɐ.ˈmɐj.ɐ']",,,,,"No error"
"cooperativa","['kwu.pɨ.ɾɐ.ˈti.vɐ']",,,,,"No error"
"natureza","['nɐ.tu.ˈɾe.zɐ']",,,,,"No error"
"poliedro","['pɔ.ˈljɛ.dɾu']",,,,,"No error"
"conjunto","['kõ.ˈʒũ.tu']",,,,,"No error"
"anglicismo","['ɐ̃.ɡli.ˈsiʒ.mu']",,,,,"No error"
"palpite","['paɫ.ˈpi.tɨ']",,,,,"No error"
"sugestão","['su.ʒɨʃ.ˈtɐ̃w̃']",,,,,"No error"
"letra","['ˈle.tɾɐ']",,,,,"No error"
"fidedigno","['fi.dɨ.ˈdi.ɡnu']",,,,,"No error"
"confuso","['kõ.ˈfu.zu']",,,,,"No error"
"plantar","['plɐ̃.ˈtaɾ']",,,,,"No error"
"desordenado","['dɨ.zɔɾ.dɨ.ˈna.du']",,,,,"No error"
"arquitetura","['ɐɾ.ki.tɛ.ˈtu.ɾɐ']",,,,,"No error"
"conspurcar","['kõʃ.puɾ.ˈkaɾ']",,,,,"No error"
"haxixe","['a.ˈʃi.ʃɨ']",,,,,"No error"
"sexo","['ˈsɛ.ksu']",,,,,"No error"
"idiotia","['i.dju.ˈti.ɐ']",,,,,"No error"
"fluvial",,"['flu.ˈvi.aɫ']","false diphthong",,,"Error"
"decreto","['dɨ.ˈkɾɛ.tu']",,,,,"No error"
"genitivo","['ʒɨ.ni.ˈti.vu']",,,,,"No error"
"dativo","['dɐ.ˈti.vu']",,,,,"No error"
"vocativo","['vu.kɐ.ˈti.vu']",,,,,"No error"
"ablativo","['ɐ.blɐ.ˈti.vu']",,,,,"No error"
"dia","['di.a']",,,,,"No error"
"necessidade","['nɨ.sɨ.si.ˈda.dɨ']",,,,,"No error"
"abate","['ɐ.ˈba.tɨ']",,,,,"No error"
"metafísica","['mɨ.tɐ.ˈfi.zi.kɐ']",,,,,"No error"
"laranja","['lɐ.ˈɾɐ̃.ʒɐ']",,,,,"No error"
"minuto","['mi.ˈnu.tu']",,,,,"No error"
"homem","['ˈɔm']",,,,,"No error"
"elemento","['i.lɨ.ˈmẽ.tu']",,,,,"No error"
"incluir","['ĩ.ˈklwiɾ']",,,,,"No error"
"embora","['ẽ.ˈbɔ.ɾɐ']",,,,,"No error"
"crítica","['ˈkɾi.ti.kɐ']",,,,,"No error"
"cinza","['ˈsĩ.zɐ']",,,,,"No error"
"arco","['ˈaɾ.ku']",,,,,"No error"
"ter","['ˈteɾ']",,,,,"No error"
"mesa","['ˈme.zɐ']",,,,,"No error"
"objeto","['AFIɔb.ˈʒɛ.tuʃ']",,,,,"No error"
"fita","['ˈfi.tɐ']",,,,,"No error"
"projeto","['pɾu.ˈʒɛ.tu']",,,,,"No error"
"hibridismo","['i.bɾi.ˈdiʒ.mu']",,,,,"No error"
"clique","['ˈkli.kɨ']",,,,,"No error"
"cama","['ˈkɐ.mɐ']",,,,,"No error"
"cadeira","['kɐ.ˈdɐj.ɾɐ']",,,,,"No error"
"página","['ˈpa.ʒi.nɐ']",,,,,"No error"
"microfone","['mi.kɾɔ.ˈfɔ.nɨ']",,,,,"No error"
"biblioteca","['bi.blju.ˈtɛ.kɐ']",,,,,"No error"
"livro","['ˈli.vɾu']",,,,,"No error"
"teclado","['tɛ.ˈkla.du']",,,,,"No error"
"livraria","['li.vɾɐ.ˈɾi.ɐ']",,,,,"No error"
"amor","['ɐ.ˈmoɾ']",,,,,"No error"
"teoria","['tju.ˈɾi.ɐ']",,,,,"No error"
"prefácio","['pɾɨ.ˈfa.sju']",,,,,"No error"
"indemnização","['ĩ.dɨm.ni.zɐ.ˈsɐ̃w̃']",,,,,"No error"
"indemnizar","['ĩ.dɨm.ni.ˈzaɾ']",,,,,"No error"
"nódoa","['ˈnɔ.dwɐ']",,,,,"No error"
"notável","['nu.ˈta.vɛɫ']",,,,,"No error"
"mãe","['ˈmɐ̃j̃']",,,,,"No error"
"ligação","['li.ɡɐ.ˈsɐ̃w̃']",,,,,"No error"
"poliglota","['pɔ.li.ˈɡlɔ.tɐ']",,,,,"No error"
"triplo","['ˈtɾi.plu']",,,,,"No error"
"quádruplo","['ˈkwa.dɾu.plu']",,,,,"No error"
"ausência","['aw.ˈzẽ.sjɐ']",,,,,"No error"
"pigmentação","['piɡ.mẽ.tɐ.ˈsɐ̃w̃']",,,,,"No error"
"pele","['ˈpɛ.lɨ']",,,,,"No error"
"anomalia","['ɐ.nu.mɐ.ˈli.ɐ']",,,,,"No error"
"íris","['ˈi.ɾiʃ']",,,,,"No error"
"embriologia","['ẽ.bɾju.lu.ˈʒi.ɐ']",,,,,"No error"
"história","['iʃ.ˈtɔ.ɾjɐ']",,,,,"No error"
"loja","['ˈlɔ.ʒɐ']",,,,,"No error"
"enólogo","['ɛ.ˈnɔ.lu.ɡu']",,,,,"No error"
"embrião","['ẽ.bɾi.ˈɐ̃w̃']",,,,,"No error"
"pupila","['pu.ˈpi.lɐ']",,,,,"No error"
"córnea","['ˈkɔɾ.njɐ']",,,,,"No error"
"pêlo","['ˈpe.lu']",,,,,"No error"
"derme","['ˈdɛɾ.mɨ']",,,,,"No error"
"pigmento","['piˈɡ.mẽ.tu']",,,,,"No error"
"endinheirado","['ẽ.di.ɲɐj.ˈɾa.du']",,,,,"No error"
"corpus","['ˈkɔɾ.puʃ']",,,,,"No error"
"pequeno","['pɨ.ˈke.nu']",,,,,"No error"
